Array name	Sample name	Batch
5202764005789148112904.H05	5202764005789148112904.H05	513
5202764005789148112904.H06	5202764005789148112904.H06	513
5202764005789148112904.H08	5202764005789148112904.H08	514
5202764005789148112904.H10	5202764005789148112904.H10	514
5202764005790181113004.A01	5202764005790181113004.A01	504
5202764005790181113004.A02	5202764005790181113004.A02	504
5202764005790181113004.A04	5202764005790181113004.A04	504
5202764005790181113004.A05	5202764005790181113004.A05	504
5202764005790181113004.A07	5202764005790181113004.A07	505
5202764005790181113004.A08	5202764005790181113004.A08	505
5202764005790181113004.A09	5202764005790181113004.A09	505
5202764005790181113004.A10	5202764005790181113004.A10	505
5202764005790181113004.A11	5202764005790181113004.A11	505
5202764005790181113004.B01	5202764005790181113004.B01	504
5202764005790181113004.B02	5202764005790181113004.B02	504
5202764005790181113004.B04	5202764005790181113004.B04	504
5202764005790181113004.B06	5202764005790181113004.B06	504
5202764005790181113004.B07	5202764005790181113004.B07	505
5202764005790181113004.B08	5202764005790181113004.B08	505
5202764005790181113004.B09	5202764005790181113004.B09	505
5202764005790181113004.B10	5202764005790181113004.B10	505
5202764005790181113004.B12	5202764005790181113004.B12	505
5202764005790181113004.C04	5202764005790181113004.C04	504
5202764005790181113004.C05	5202764005790181113004.C05	504
5202764005790181113004.C06	5202764005790181113004.C06	504
5202764005790181113004.C08	5202764005790181113004.C08	505
5202764005790181113004.C09	5202764005790181113004.C09	505
5202764005790181113004.C10	5202764005790181113004.C10	505
5202764005790181113004.C11	5202764005790181113004.C11	505
5202764005790181113004.D05	5202764005790181113004.D05	504
5202764005790181113004.D06	5202764005790181113004.D06	504
5202764005790181113004.D08	5202764005790181113004.D08	505
5202764005790181113004.D09	5202764005790181113004.D09	505
5202764005790181113004.D11	5202764005790181113004.D11	505
5202764005790181113004.D12	5202764005790181113004.D12	505
5202764005790181113004.F02	5202764005790181113004.F02	504
5202764005790181113004.F03	5202764005790181113004.F03	504
5202764005790181113004.F04	5202764005790181113004.F04	504
5202764005790181113004.F05	5202764005790181113004.F05	504
5202764005790181113004.F06	5202764005790181113004.F06	504
5202764005790181113004.F08	5202764005790181113004.F08	505
5202764005790181113004.F09	5202764005790181113004.F09	505
5202764005790181113004.F12	5202764005790181113004.F12	505
5202764005790181113004.G03	5202764005790181113004.G03	504
5202764005790181113004.G04	5202764005790181113004.G04	504
5202764005790181113004.G05	5202764005790181113004.G05	504
5202764005790181113004.G06	5202764005790181113004.G06	504
5202764005790181113004.G09	5202764005790181113004.G09	505
5202764005790181113004.G11	5202764005790181113004.G11	505
5202764005790181113004.G12	5202764005790181113004.G12	505
5202764005790181113004.H02	5202764005790181113004.H02	504
5202764005790181113004.H03	5202764005790181113004.H03	504
5202764005790181113004.H05	5202764005790181113004.H05	504
5202764005790181113004.H08	5202764005790181113004.H08	505
5202764005790181113004.H09	5202764005790181113004.H09	505
5202764005790181113004.H12	5202764005790181113004.H12	505
5202764005791175120104.A01	5202764005791175120104.A01	502
5202764005791175120104.A02	5202764005791175120104.A02	502
5202764005791175120104.A04	5202764005791175120104.A04	502
5202764005791175120104.A05	5202764005791175120104.A05	502
5202764005791175120104.A07	5202764005791175120104.A07	506
5202764005791175120104.A08	5202764005791175120104.A08	506
5202764005791175120104.A09	5202764005791175120104.A09	506
5202764005791175120104.A10	5202764005791175120104.A10	506
5202764005791175120104.A11	5202764005791175120104.A11	506
5202764005791175120104.B01	5202764005791175120104.B01	502
5202764005791175120104.B02	5202764005791175120104.B02	502
5202764005791175120104.B04	5202764005791175120104.B04	502
5202764005791175120104.B06	5202764005791175120104.B06	502
5202764005791175120104.B07	5202764005791175120104.B07	506
5202764005791175120104.B08	5202764005791175120104.B08	506
5202764005791175120104.B09	5202764005791175120104.B09	506
5202764005791175120104.B12	5202764005791175120104.B12	506
5202764005791175120104.C04	5202764005791175120104.C04	502
5202764005791175120104.C05	5202764005791175120104.C05	502
5202764005791175120104.C06	5202764005791175120104.C06	502
5202764005791175120104.C07	5202764005791175120104.C07	506
5202764005791175120104.C08	5202764005791175120104.C08	506
5202764005791175120104.C09	5202764005791175120104.C09	506
5202764005791175120104.C10	5202764005791175120104.C10	506
5202764005791175120104.C11	5202764005791175120104.C11	506
5202764005791175120104.C12	5202764005791175120104.C12	506
5202764005791175120104.D05	5202764005791175120104.D05	502
5202764005791175120104.D06	5202764005791175120104.D06	502
5202764005791175120104.D07	5202764005791175120104.D07	506
5202764005791175120104.D08	5202764005791175120104.D08	506
5202764005791175120104.D09	5202764005791175120104.D09	506
5202764005791175120104.D11	5202764005791175120104.D11	506
5202764005791175120104.D12	5202764005791175120104.D12	506
5202764005791175120104.F02	5202764005791175120104.F02	502
5202764005791175120104.F03	5202764005791175120104.F03	502
5202764005791175120104.F04	5202764005791175120104.F04	502
5202764005791175120104.F05	5202764005791175120104.F05	502
5202764005791175120104.F06	5202764005791175120104.F06	502
5202764005791175120104.F07	5202764005791175120104.F07	506
5202764005791175120104.F08	5202764005791175120104.F08	506
5202764005791175120104.F09	5202764005791175120104.F09	506
5202764005791175120104.F10	5202764005791175120104.F10	506
5202764005791175120104.F11	5202764005791175120104.F11	506
5202764005791175120104.F12	5202764005791175120104.F12	506
5202764005791175120104.G03	5202764005791175120104.G03	502
5202764005791175120104.G04	5202764005791175120104.G04	502
5202764005791175120104.G05	5202764005791175120104.G05	502
5202764005791175120104.G06	5202764005791175120104.G06	502
5202764005791175120104.G07	5202764005791175120104.G07	506
5202764005791175120104.G09	5202764005791175120104.G09	506
5202764005791175120104.G10	5202764005791175120104.G10	506
5202764005791175120104.G11	5202764005791175120104.G11	506
5202764005791175120104.G12	5202764005791175120104.G12	506
5202764005791175120104.H02	5202764005791175120104.H02	502
5202764005791175120104.H03	5202764005791175120104.H03	502
5202764005791175120104.H05	5202764005791175120104.H05	502
5202764005791175120104.H08	5202764005791175120104.H08	506
5202764005791175120104.H09	5202764005791175120104.H09	506
5202764005791175120104.H10	5202764005791175120104.H10	506
5202764005791175120104.H11	5202764005791175120104.H11	506
5202764005791175120104.H12	5202764005791175120104.H12	506
5500024017802120306174.A01	5500024017802120306174.A01	602
5500024017802120306174.A02	5500024017802120306174.A02	602
5500024017802120306174.A03	5500024017802120306174.A03	602
5500024017802120306174.A04	5500024017802120306174.A04	602
5500024017802120306174.A05	5500024017802120306174.A05	602
5500024017802120306174.A07	5500024017802120306174.A07	603
5500024017802120306174.A08	5500024017802120306174.A08	603
5500024017802120306174.A09	5500024017802120306174.A09	603
5500024017802120306174.A10	5500024017802120306174.A10	603
5500024017802120306174.A11	5500024017802120306174.A11	603
5500024017802120306174.B01	5500024017802120306174.B01	602
5500024017802120306174.B02	5500024017802120306174.B02	602
5500024017802120306174.B03	5500024017802120306174.B03	602
5500024017802120306174.B04	5500024017802120306174.B04	602
5500024017802120306174.B06	5500024017802120306174.B06	602
5500024017802120306174.B07	5500024017802120306174.B07	603
5500024017802120306174.B08	5500024017802120306174.B08	603
5500024017802120306174.B09	5500024017802120306174.B09	603
5500024017802120306174.B10	5500024017802120306174.B10	603
5500024017802120306174.B12	5500024017802120306174.B12	603
5500024017802120306174.C01	5500024017802120306174.C01	602
5500024017802120306174.C02	5500024017802120306174.C02	602
5500024017802120306174.C03	5500024017802120306174.C03	602
5500024017802120306174.C04	5500024017802120306174.C04	602
5500024017802120306174.C05	5500024017802120306174.C05	602
5500024017802120306174.C06	5500024017802120306174.C06	602
5500024017802120306174.C07	5500024017802120306174.C07	603
5500024017802120306174.C08	5500024017802120306174.C08	603
5500024017802120306174.C09	5500024017802120306174.C09	603
5500024017802120306174.C10	5500024017802120306174.C10	603
5500024017802120306174.C11	5500024017802120306174.C11	603
5500024017802120306174.C12	5500024017802120306174.C12	603
5500024017802120306174.D01	5500024017802120306174.D01	602
5500024017802120306174.D02	5500024017802120306174.D02	602
5500024017802120306174.D03	5500024017802120306174.D03	602
5500024017802120306174.D05	5500024017802120306174.D05	602
5500024017802120306174.D06	5500024017802120306174.D06	602
5500024017802120306174.D07	5500024017802120306174.D07	603
5500024017802120306174.D08	5500024017802120306174.D08	603
5500024017802120306174.D09	5500024017802120306174.D09	603
5500024017802120306174.D11	5500024017802120306174.D11	603
5500024017802120306174.D12	5500024017802120306174.D12	603
5500024017802120306174.F01	5500024017802120306174.F01	602
5500024017802120306174.F02	5500024017802120306174.F02	602
5500024017802120306174.F03	5500024017802120306174.F03	602
5500024017802120306174.F04	5500024017802120306174.F04	602
5500024017802120306174.F05	5500024017802120306174.F05	602
5500024017802120306174.F06	5500024017802120306174.F06	602
5500024017802120306174.F07	5500024017802120306174.F07	603
5500024017802120306174.F08	5500024017802120306174.F08	603
5500024017802120306174.F09	5500024017802120306174.F09	603
5500024017802120306174.F10	5500024017802120306174.F10	603
5500024017802120306174.F11	5500024017802120306174.F11	603
5500024017802120306174.F12	5500024017802120306174.F12	603
5500024017802120306174.G01	5500024017802120306174.G01	602
5500024017802120306174.G03	5500024017802120306174.G03	602
5500024017802120306174.G04	5500024017802120306174.G04	602
5500024017802120306174.G05	5500024017802120306174.G05	602
5500024017802120306174.G06	5500024017802120306174.G06	602
5500024017802120306174.G07	5500024017802120306174.G07	603
5500024017802120306174.G09	5500024017802120306174.G09	603
5500024017802120306174.G10	5500024017802120306174.G10	603
5500024017802120306174.G11	5500024017802120306174.G11	603
5500024017802120306174.G12	5500024017802120306174.G12	603
5500024017802120306174.H02	5500024017802120306174.H02	602
5500024017802120306174.H03	5500024017802120306174.H03	602
5500024017802120306174.H04	5500024017802120306174.H04	602
5500024017802120306174.H05	5500024017802120306174.H05	602
5500024017802120306174.H06	5500024017802120306174.H06	602
5500024017802120306174.H08	5500024017802120306174.H08	603
5500024017802120306174.H09	5500024017802120306174.H09	603
5500024017802120306174.H10	5500024017802120306174.H10	603
5500024017802120306174.H11	5500024017802120306174.H11	603
5500024017802120306174.H12	5500024017802120306174.H12	603
5500024024211121606513.A01	5500024024211121606513.A01	632
5500024024211121606513.A02	5500024024211121606513.A02	632
5500024024211121606513.A03	5500024024211121606513.A03	632
5500024024211121606513.A04	5500024024211121606513.A04	632
5500024024211121606513.A05	5500024024211121606513.A05	632
5500024024211121606513.A07	5500024024211121606513.A07	633
5500024024211121606513.A08	5500024024211121606513.A08	633
5500024024211121606513.A09	5500024024211121606513.A09	633
5500024024211121606513.A10	5500024024211121606513.A10	633
5500024024211121606513.A11	5500024024211121606513.A11	633
5500024024211121606513.B01	5500024024211121606513.B01	632
5500024024211121606513.B02	5500024024211121606513.B02	632
5500024024211121606513.B03	5500024024211121606513.B03	632
5500024024211121606513.B04	5500024024211121606513.B04	632
5500024024211121606513.B06	5500024024211121606513.B06	632
5500024024211121606513.B07	5500024024211121606513.B07	633
5500024024211121606513.B08	5500024024211121606513.B08	633
5500024024211121606513.B09	5500024024211121606513.B09	633
5500024024211121606513.B10	5500024024211121606513.B10	633
5500024024211121606513.C01	5500024024211121606513.C01	632
5500024024211121606513.C02	5500024024211121606513.C02	632
5500024024211121606513.C03	5500024024211121606513.C03	632
5500024024211121606513.C04	5500024024211121606513.C04	632
5500024024211121606513.C05	5500024024211121606513.C05	632
5500024024211121606513.C06	5500024024211121606513.C06	632
5500024024211121606513.C07	5500024024211121606513.C07	633
5500024024211121606513.C08	5500024024211121606513.C08	633
5500024024211121606513.C09	5500024024211121606513.C09	633
5500024024211121606513.C10	5500024024211121606513.C10	633
5500024024211121606513.C11	5500024024211121606513.C11	633
5500024024211121606513.C12	5500024024211121606513.C12	633
5500024024211121606513.D01	5500024024211121606513.D01	632
5500024024211121606513.D02	5500024024211121606513.D02	632
5500024024211121606513.D03	5500024024211121606513.D03	632
5500024024211121606513.D05	5500024024211121606513.D05	632
5500024024211121606513.D06	5500024024211121606513.D06	632
5500024024211121606513.D09	5500024024211121606513.D09	633
5500024024211121606513.D11	5500024024211121606513.D11	633
5500024024211121606513.D12	5500024024211121606513.D12	633
5500024024211121606513.F01	5500024024211121606513.F01	632
5500024024211121606513.F02	5500024024211121606513.F02	632
5500024024211121606513.F03	5500024024211121606513.F03	632
5500024024211121606513.F04	5500024024211121606513.F04	632
5500024024211121606513.F05	5500024024211121606513.F05	632
5500024024211121606513.F06	5500024024211121606513.F06	632
5500024024211121606513.F07	5500024024211121606513.F07	633
5500024024211121606513.F08	5500024024211121606513.F08	633
5500024024211121606513.F09	5500024024211121606513.F09	633
5500024024211121606513.F10	5500024024211121606513.F10	633
5500024024211121606513.F11	5500024024211121606513.F11	633
5500024024211121606513.F12	5500024024211121606513.F12	633
5500024024211121606513.G01	5500024024211121606513.G01	632
5500024024211121606513.G03	5500024024211121606513.G03	632
5500024024211121606513.G04	5500024024211121606513.G04	632
5500024024211121606513.G05	5500024024211121606513.G05	632
5500024024211121606513.G06	5500024024211121606513.G06	632
5500024024211121606513.G07	5500024024211121606513.G07	633
5500024024211121606513.G09	5500024024211121606513.G09	633
5500024024211121606513.G10	5500024024211121606513.G10	633
5500024024211121606513.G11	5500024024211121606513.G11	633
5500024024211121606513.G12	5500024024211121606513.G12	633
5500024024211121606513.H02	5500024024211121606513.H02	632
5500024024211121606513.H03	5500024024211121606513.H03	632
5500024024211121606513.H04	5500024024211121606513.H04	632
5500024024211121606513.H05	5500024024211121606513.H05	632
5500024024211121606513.H06	5500024024211121606513.H06	632
5500024024211121606513.H08	5500024024211121606513.H08	633
5500024024211121606513.H09	5500024024211121606513.H09	633
5500024024211121606513.H10	5500024024211121606513.H10	633
5500024024211121606513.H11	5500024024211121606513.H11	633
5500024024211121606513.H12	5500024024211121606513.H12	633
5500024024213121906563.A01	5500024024213121906563.A01	630
